ababa addis -1	Up to seven people were killed when forces fire on demonstrators in Addis Ababa on May 29 .
rafaelo dr -1	The two girls greeted each other , but Dr Rafaelo allowed no further .
raid air -1	Cherry went on to become a popular radio broadcaster and was sadly killed when leaving House during an air raid in 1940 .
raids air -1	Mrs Mitterrand has long been a defender of the Kurdish cause and last July toured the area where the weekend air raids took place .
railway bishop -3	As far as can be assessed , there are about six comic postcards featuring the Bishop 's Castle Railway .
railway bridge 1	Before Christmas a hole was opened on the west side of Gubberford Lane near the flood protection wall just south of the railway bridge .
railway castle -1	As far as can be assessed , there are about six comic postcards featuring the Bishop 's Castle Railway .
railway centre 1	The Firefly society they can recapture some of that era with their replica currently being put together at the Didcot Railway Centre .
railway companies 1	This deep interest was amply reflected in the fact that no fewer than a dozen Argentine railway companies were British-owned .
railway lines 1	They are used by local authorities and British Rail for road and railway lines and by farmers as selective herbicides .
railway old -1	Carrington had already arranged to have it carted away as soon as possible by a salvage unit , and at the old railway sidings at Carluke .
railway station 1	The town centre is a 15 minute away , and the hotel is close to the railway station .
railway stations 1	Where appropriate , supporting the opening of new or re-opening of railway stations .
railway system 1	One can immediately see the importance of the railway system .
railway western -1	Privatisation will be the most radical change Brunel 's Great Western Railway began operations in the 1830s .
railways british -1	In Britain in the 1860S coal was carried by British railways at one-twentieth the cost by road .
railways regional -1	Regional Railways : Ticketing the local to take an ever The ghost of Dr Beeching has been cast out on the provincial railways .
rain acid -1	It is largely our need for electricity and transport and our demand for consumer goods that ultimately leads to acid rain .
rain fell 1	The rain fell tiny , miserable droplets that were blown about by the wind .
rain forest 1	Please ask the farmers to stop growing crops and trees and ask people to stop buying rain forest wood like mahogany .
rain forests 1	When one comes into fruit in the rain forests of South America , animals from miles away to it .
rain torrential -1	An MP has called for a full review of flood defences following the chaos caussed by torrential rain over the past week .
rainy day 1	Many a rainy day would he bring dreariness to an end , as his musical talents came out to the surface .
raise able -2	In almost every year since 1945 the government has spent more than it has been willing or able to raise via taxation .
raise trying -2	Like every other club , you 're trying to raise funds .
raised glass 2	Mine Norman raised his glass of Park whisky yesterday and for the first time to raise a smile from the assembled guests .
raising fund -1	Although the Challenge is only a year old it has established itself the biggest single charity fund raising event in the region .
raising hair -1	Find yourself at the controls of a fighter helicopter over 27 hair-raising missions .
ralph sir -1	You are to pray for 's soul and for those of Sir Gerard and Sir Ralph .
ramblers association 1	Luckily we have the example of rights for us by our forebears whose fight is continued by the Ramblers Association .
ramsay macdonald 1	Ramsay MacDonald was beaten by such a campaign in 1921 with language that made the general election of 1918 seem tame .
ran also -1	It would have taken a match of some to have lifted this last weekend of the Championship out of the also-ran trough .
ran finger 2	My breath fog on the window and I leaned back and ran my finger through it .
ran fingers 2	She ran her fingers through the mass of her hair and let out a deep sigh .
random access 1	Soon the intolerable mysteries of Mediterranean life would be swept away by the electronic wonders of real time and random access for all .
random sample 1	More importantly , the unemployed are far from a random sample of the workforce .
range close -1	Newcastle edged ahead again in the 31st minute when defender Kevin Scott hooked home from close range .
range limited -1	At this point we must look at what the loan and books have to say , although the examples cover a more limited range .
range long -1	It is also very good with a buoyant or boilie set-up and for long range work casts slightly better than the option .
range mid -1	The figures reflect an improvement in results and improved demand for its mid range truck engines .
range short -1	Indeed such a force exists and permits atoms to assemble into molecules by sharing some of their electrons , while their nuclei have short range repulsion .
ranging wide -1	A wide range of activities will stimulate wide-ranging discussion .
rank file 2	While the leadership of the was evidently opposed to Mosley , they were prepared to co-operate with the rank and file of his organization .
ranking high -1	It has been tentatively interpreted as a praetorium , which could provide a residence for high-ranking officers or accommodation for them when .
rapid expansion 1	Modern art is directed at a largely untutored in the fine arts amidst a rapid expansion of the means of communication .
rare extremely -1	First , it must always be emphasised that long-term graduate unemployment is extremely rare .
rare occasions 1	There are separate instructions for those rare occasions when assaults occur .
rata pro -1	However spots can be purchased for seven seconds and a pro pro rata charge is made .
rate birth -1	The birth rate in many African countries has also fallen the past decade .
rate cheap -1	From the Republic of Ireland 48p peak , 36p cheap rate and 24p economy .
rate death -1	One index from death and population information is the crude death rate .
rate flat -1	Direct taxation was indeed low , at a flat rate of 1 s .
rate mechanism 1	We already have the first stage of economic and monetary union - the exchange rate mechanism - and it is already doing great damage to Britain .
rate return 2	This difference was partly attributed to calculation methods as to the time which PWRs should be and the rate of return from investment .
rateable value 1	The criticisms of rates relate both to the method of calculating the rateable value and to the incidence of this form of taxation .
rates death -1	In this chapter we have looked at the extent to which chronic sickness rates as reported on the GHS are predictable from death rates .
rates success -1	In some tasks several interacting factors may be influencing performance ; in these circumstances success rates become more difficult to predict .
rather looks -1	But unfortunately the result - though its meaning is clear and analysable - now looks rather forced and frankly old-fashioned .
rather merely 2	It is a recipe for through a process of continuous fine rather than merely being shocked into as a result of the occasional mistake .
rather similar 1	Well , I think the form was rather similar to what we wanted .
rather simply 2	The generative system is able to operate a sentential level rather than simply consider local word combinations .
rather strange 1	There 's a sense in which it might sound rather strange , I think Simon was there was something in this guy is attractive I think .
rating system 1	Unlike the , the Community Charge to depart from the old rating system method of local taxes .
rational hypothesis 2	This curve is of fundamental importance to the macroeconomic policy conclusions often drawn from the rational expectations hypothesis .
raw material 1	The combined business well to market share but margins came under severe pressure following sterling 's devaluation which pushed up raw material prices .
raw materials 1	A scientist is required in the Measurement and Instrumentation Section to work a range of projects concerning analysis of beer and its raw materials .
ray x -1	Its identification was an early success of X-ray crystallography .
rd minute 1	Williams rounded off with a 63rd-minute penalty after Gabbiadini was brought down in the area .
rdbi lifespan -1	That is , it is the one currently being used by your LIFESPAN system and can be accessed by LIFESPAN RDBI .
rea mens -1	The mens rea of the defendants transmuted the innocent act of transferring assets to Spain into a dishonest appropriation of the money .
reach able -2	When that happened it meant he was , sprawled out on the sofa if he had n't been able to reach the bed .
reach ca -3	Body hair growing untidily or in odd places can be removed by waxing a salon , if you ca n't reach it .
reach failed -2	Between 1944 and 1958 more than 16 bills on broadcasting - centring on the status of RTF failed to reach the statute book .
reach trying -2	Once it 's finally , Oslobodjenje faces just as many problems in trying to reach its audience .
reached peak 2	The purchase of UK government securities reached a peak of 3.2bn in 1983 but became negative in 1987 .
reaches upper -1	Clearly therefore the clouds do not consist of water , at least not in their upper reaches .
reaction chain -1	The other simple analogy is to the chain reaction of nuclear physics .
reaction polymerase -2	The specificity of IS900 polymerase chain reaction for M paratuberculosis has already been shown .
reaction time 1	This assumption has been most conspicuous in the context of experiments comparing manual response times with vocal reaction time .
reactions chemical -1	Thus Reactants Products The composition of compounds and the changes in composition that take place during chemical reactions are governed by four important laws .
reactor nuclear -1	Some scientists have argued that these tanks in themselves present as a risk of a catastrophic accident as any nuclear reactor .
read able -2	Only in the last hundred years have most people in the developed world been able to read and write .
read began -2	She turned to the next sheet of cuttings , and began to read an article from the Sun .
read easy -2	The display was clear and easy to read , with decompression data well presented and easy to follow .
read ever -1	Myles had more understanding and sympathy for this character than for all the others he had ever read about .
read never -1	He always took Celia flowers and sometimes books or magazines , but he had come to the conclusion she never read them .
readable machine -1	The first towards achieving this task is to use the information present in the machine readable dictionaries .
readily available 1	Without the work at Peoria and in many American industrial laboratories , many more months or years would have passed before penicillin became readily available .
reading aloud 1	Whether their attitudes derive partly from the emphasis given to reading aloud is not .
reading second -1	The issue is the key feature of the and Embryology Bill which has just had its second reading in the House of Lords .
ready leave 2	He had already cleared his desk and was obviously ready to leave .
ready rough -2	During World War II , it was the rough-and-ready American GI who could fix the stalled jeep in Normandy while the regiment only on .
reagan administration 1	The intercontinental B-1B bomber 's electronic countermeasure system will never have the full capabilities touted by the Reagan administration .
reagan ronald -1	THE American Service launched an internal investigation last night following an attack by an anti-nuclear protester on former President Ronald Reagan .
real ale 1	WHY have you stopped giving details of local real ale in What 's Brewing ?
real danger 1	Again , timber is noisy stuff and it will frighten the wits out of you before it is in any real danger of .
real estate 1	It requires co-operation between groups of families and carefully experts in the area of developmentally and real estate .
real issue 1	The real issue is the best way forward for pubs .
real issues 1	He was worried that the media might be making too much of the religious implications , and not the real issues at hand .
real output 1	In the absence of any in government policy this unpredictable downward in the demand curve would induce a fall in real output .
real problem 1	If someone does come looking for trouble , he or she will pick a victim who does not look capable of causing any real problem .
real reason 1	He used the same line with his mother ; for once he did n't give her the real reason .
real test 1	Whatever our personal reactions might be to a production , that is the only real test .
real thing 1	Kathy Rooney stood in for Mr Wogan , and I was a bit tense it came to the real thing .
real threat 1	But Chris 's smile shows he clearly does n't see any real threat to his golden 4 , 000 metres .
real wage 1	Was it muddled the association between money wage changes and real wage changes ?
real wages 1	The rise in rents between 1848 and the late 1880s more or less matched the rise in real wages during the same period .
realise made -2	What he 'd seen done to Grant made Forster realise that whatever it was struck with demonic speed and savagery .
reality virtual -1	MIT Virtual Reality is also being further developed for computer games .
rearing child -1	Many early child-rearing practices were barbarous by modern standards .
reason apparent -1	An unknowable , harsh and cruel society had destroyed his father for no apparent reason .
reason every -1	As we have seen , the Chicago sociologists had every reason to be concerned with gangs engaging a criminal behaviour .
reason good -1	This like sizes is established at a very early age , and there is good reason for it .
reason main -1	In tendering his resignation , Mr Adamec cited undue pressure from the opposition in the this week a new cabinet as the main reason .
reason major -1	Indeed , emoluments of this sort in the face of one major reason for regulation or public ownership in the first place .
reason part -3	We bought knowing that we were at a low point in the aircraft build , that was part of the reason for the timing .
reason particular -1	Do you think there 's any particular reason for this ?
reason real -1	He used the same line with his mother ; for once he did n't give her the real reason .
reason second -1	The second reason for an interest in child development is perhaps not so self-evident .
reasonable amount 1	Until recently , I was just amazed that I was doing this with a reasonable amount of success .
reasonable assume 2	I think it is reasonable to assume that the arrow for computers is the same as that for humans .
reasonable grounds 1	Instead , each airline was to be allowed to use its discretion as to frequency and capacity within reasonable grounds .
reasonable perfectly -1	Whatever the cause of the delay , the solicitor should answer your perfectly reasonable request for an explanation .
reasonably might -1	The application must be accompanied by a copy of the organization 's rules and any other information that the SIB might reasonably require .
reasons behind 1	As though unaware of the many doubts in the minds of each of his listeners , went on to explain the reasons behind his momentous decision .
reasons different -1	Both of them carry this faulty picture into their relationship with God , though for different reasons .
reasons good -1	As we have seen , there are good reasons for accepting this proposal .
reasons obvious -1	Stop , as you can see I have warned them to let Mouth know well in advance of the collection period for all the obvious reasons .
reasons personal -1	This was more for personal reasons than because of Baldwin 's alleged lack of interest in foreign affairs .
reasons possible -1	Below we will suggest and examine a number of possible reasons or explanations .
reasons variety -2	The UK system of income taxation and income support measures has been the subject of criticism from many quarters for a variety of reasons .
reasons various -1	We are extremely aware of the number of people carrying out treatments who are not members of our Institute for various reasons .
recall may -1	The right hon. Gentleman may recall that prediction by his hon. Friend the Member for Birmingham , Sparkbrook ( Mr. Hattersley ) before the previous election .
receive also -1	It promises higher income taxes for individuals and corporations - and on the wealthier retirees who also receive government benefits .
receive bottle 2	All other customers at the receive a bottle of sparkling wine .
receive sparkling 4	All other customers at the receive a bottle of sparkling wine .
received well -1	The double-bill was also well received by TV critics in the more serious newspapers and magazines .
receiver official -1	The official receiver was duly ordered to exploit the film .
receiver picked -3	He scrabbled for the light switch , saw the time - my God ! picked up the receiver .
recent months 1	A teenager has told police she may have been the first victim of a man who 's attacked two women in recent months .
recent past 1	You still have the shame of the short-trousered recent past .
recent study 1	The Czechoslovakian film and television industry is the subject of a recent study published by the International Institute of Communications .
recent weeks 1	This time around it looks like being a more permanent fixture , despite him being called for the firsts in recent weeks .
recently quite -1	A trainer containing a weapon was sent from Northern Ireland to assist an escape quite recently .
reception area 1	As the black Jaguar pulled up outside , Coy came into the reception area to wait for his guest .
reception desk 1	Madame Gauthier was perched on a stool at the reception desk , making up her accounts .
recession economic -1	Currently this may seem unacceptable as well as unlikely , but may no longer be so if Israel itself experiences military and economic recession .
recognition international -1	Ho had served as Foreign Minister between 1970 and 1983 , during which time North Korea aggressively against South Korea for international recognition .
recognition mutual -1	The Directive also provides for the EC to enter into bilateral agreements with non-member states for mutual recognition of particulars .
recognition pattern -1	And that 's interesting to see in pattern recognition terms .
recognition system 1	However , parameters for them for individual writers could be extracted from an initial training phase for a script recognition system .
recognition systems 1	Our first aim was to examine the lexical access components of a number of existing speech recognition systems .
recommendations make -1	Both sides also agree to establish a South Atlantic Fisheries to exchange information and make recommendations on .
recommended highly -1	If you prefer some lighter to re-awaken forgotten memories , Nigel Roebuck 's Formula is to be highly recommended .
record achievement 2	As new qualifications are gained the will be updated automatically i.e. it is a cumulative record of achievement .
record books 1	But the Irish Under-25 and Open singles did earn a place in the record books .
record british -1	Ashley and Records wanted Kylie 's new song released under license to a major British record company .
record companies 1	A band 's early live dates may attract interest from management companies who already have artists signed to record companies .
record course -1	One should of course record one 's satisfaction that the two leaders well together , and that they smoothed certain niggling differences .
record fossil -1	By the of the Permian , 75 per cent of all amphibian families and more than 50 per cent of reptile families had vanished from the fossil record .
record levels 1	Yesterday 's trade figures showed clearly that volumes were at record levels even in a worldwide economic downturn .
record previous -1	A 39th successive game without defeat would better the previous record , set by Rangers ' side from the 1975-76 season .
record straight 1	In a revealing interview with Woman magazine it was Dannii 's to put the record straight .
record track -1	Investors in the USM as in stocks all too often on grounds of glamour , as distinct from track record and figures .
recorder tape -1	Connors looked at him intently through the smoke haze as he reached out and switched on a tape recorder .
records achievement 2	Indeed the DES has currently funded a major research project to evaluate the pilot it has funded , for example for records of achievement .
records book -2	Do you know that Sooty is our longest children 's TV , according to the Guinness Book of Records ?
records guinness -3	Do you know that Sooty is our longest children 's TV , according to the Guinness Book of Records ?
records medical -1	From his promising interview with the redoubtable Mrs Fitton , he had driven directly to Mansfield Memorial Hospital with medical records in mind .
recourse without -1	The answer can also be obtained by access to the index without recourse to the data storage area .
recovery economic -1	Although not representing any direct threat to the government these rebellions did hinder the country 's economic recovery .
recreation ground 1	Col. Dabson wanted to know why so much money was to be spent on open spaces such as Radford and the recreation ground .
recreational facilities 1	The main building at Jordanstown is designed a central Mall , itself a spine for the 17 blocks of academic and recreational facilities and accommodation .
recruits new -1	Since the new recruits in the hive had not been tampered with and were stimulated by the light , they misinterpreted the dance of the foragers .
recycled paper 1	I do n't often buy paper from the School Lodge , but as as I can remember Recycled paper costs more than Ordinary Paper .
red army 1	For a long time his arrival there , armed groups of various kinds to be chased through the nearby woods by Red Army units .
red card 1	The foul was committed with the referee only a few yards away and a red card was inevitable .
red cross 1	Another day and they passed the large tents of the Red Cross .
red deer 1	The fields and woods contain squirrels , badgers and red deer .
red faced 1	A moment later he was red-faced , reacting with a panic was quite exceptional for George Cowley .
red haired 1	He returned with the Prior and a young , red-haired man dressed in .
red infra -1	Drivers are flashed a warning if their vehicles break an infra-red beam projected across the road .
red lion 1	It rained upon them at Elgin and Johnson again ran into culinary difficulty with a lunch he could not eat at the Red Lion inn .
red old -1	Old Red waited the Jemps-Dungarvan society had broken up and Mr Jemps was climbing into his lorry .
red star 1	He is extensively tattooed , with on his forearm of a rifle and a red star and on his left hand the initials .
red tape 1	Former rally driver Jean Denton is battling to reduce red tape and bureaucratic burdens on small firms and start-ups .
reduce amount 2	The main body of a report will be perfectly acceptable at 10pt and will actually reduce the amount of paper needed perhaps 30 % .
reduce could -1	Swedish employers believed that the greater coordination of negotiations by means of central bargaining could reduce the incidence of industrial conflict .
reduce order -2	If your cheque book is lost or , let your bank know immediately in order to reduce the risk of fraud on your account .
reduced greatly -1	At Folkestone Chalk above Gault Clay in the cliffs , and the clay thus tends to become saturated and to have its shear strength greatly reduced .
reduced may -2	When that context is removed - in situations like - the child 's understanding may be reduced .
reducing number 2	By including bosses you will be improving your chances of inflicting casualties and reducing the number of casualties sustained .
reducing sulphate -1	The dilutions used give a detection limit of 10 2 viable counts per gram faeces for both methanogenic bacteria and sulphate reducing bacteria .
reduction significant -1	The results in Table 3 that shadowing of verbal material causes an extremely significant reduction in for the trigram task .
redundancies compulsory -1	A company is in the process of making compulsory redundancies .
redundancy payment 1	The employee may thus bring an unfair dismissal complaint or claim a redundancy payment .
redundancy payments 1	The is to add together all the personnel for each kind of worker from the original job advertisement to the retirement or redundancy payments .
refer friend 3	I refer my hon. Friend to the reply that I gave some moments ago .
refer please -1	Early encashment values are not and may result in the amount being less than the original investment ( please refer to the table below ) .
refer used -2	These days the word salame is also used to refer to an idiot with less brains than a sack of potatoes !
reference frame -2	By the end of 1929 the First report was published : slim and hastily written it yet established a frame of reference for the London region .
reflux gastro -2	This also supports the hypothesis and alcohol are not factors for development of in patients with severe gastro-oesophageal reflux .
reflux oesophagitis 1	Several factors are responsible for recurrent exposure of the distal oesophagus to gastric contents and the subsequent development of reflux oesophagitis .
reform agrarian -1	The new government about reversing previous policies , not least of which was agrarian reform .
reform constitutional -1	And at the level they see the burgeoning of a true British citizenship as being dependent on constitutional reform .
reform land -1	In this paper I will examine the reasons behind the , the C C P policy through this crucial period of land reform in China .
reforms economic -1	Following on from the former Zhou Enlai , Deng began an ambitious programme of economic reforms .
refuge take -1	Publisher Hugh Murray graphically illustrates the sort of thing you can still expect when you arrive home and take refuge behind the walls .
refuge took -1	Instead she took refuge in the library where she could read and research to her heart 's .
refugee children 1	Islington SSD has been accused of failing to follow the complaints procedure under the Children Act allegations of abuse in a home for refugee children .
refuse n -2	It would be a strange coupling , but Frances would n't refuse .
refused accept 2	Hiding inside her head , Jezrael refused to accept the world of blue .
refused allow 2	At first they refused to allow us to land anywhere .
refused comment 2	The lenders Dorend have refused to comment on the case .
refused give 2	Humans ca n't catch it and pass it on , especially not through solid glass.in But he refused to give ground on this issue .
refused go 2	He waited months for a day centre ; when he got it was unsuitable and he refused to go .
refused let 2	A sympathetic local media helped us harass and embarrass the silly burghers as they repeatedly refused to let us use the Assembly Rooms .
refused say 2	But the owner has refused to say whether he 'll agree to the rescue plan .
refused take 2	And there have been unconfirmed reports that troops from Pakistan , Morocco and Tunisia refused to take part in active combat against Iraq .
regard high -1	Although she had never read any of his books , she was well aware of the high regard he was held in in the literary world .
regard particularly -2	The presented by my hon. Friend the Member for Wythenshawe dealt with discrimination against people with disabilities , particularly in regard to employment and jobs .
regarded must -2	For the purposes of law some actions must be regarded as voluntary , since only these can be justifiably punished .
regarded widely -1	In broadcasting the predilection for state leadership , fresh and grand plans is widely regarded as being less than a great success .
regardless whether 2	Coun. Mrs Heather Scott ( C ) said it was unfair to impose a flat rise on tenants regardless of whether their homes had been repaired .
regeneration urban -1	It aims to look at how the private sector has and can increase its involvement in local and urban regeneration .
regime communist -1	A number of them have been denied the opportunity to collect the awards for nearly 50 years by the former communist regime .
region iv 1	It is clear that v is zero midway along the two boundaries between region IV and regions II and III .
region lothian -1	In recent years cycling has grown in popularity and regrettably the number of accidents involving cyclists has increased to approximately 250 per year in Lothian Region .
region region 2	But there are substantial variations from country to country and region to region .
regional lothian -1	By calling CLARENCE free on you can get the resources of Lothian Regional Council 's Highways Department at your disposal to solve the problem .
regional offices 1	That corporate structure can however cause problems the disciplines are spread geographically , such as in regional offices .
regional railways 1	Regional Railways : Ticketing the local to take an ever The ghost of Dr Beeching has been cast out on the provincial railways .
regions polar -1	Even under the equator if you go enough you 'll enter water masses that were formed in the polar regions .
registered office 1	The head office is not of course , necessarily the registered office and a company search may be necessary .
registration number 1	For this purpose , a company may be identified by stating its tax district and number or its company registration number .
regression analysis 1	The national formula was derived from regression analysis , with hospital utilisation as an index of need for health - a method which has fundamental limitations .
regret n -2	As I started to cool down , I did n't regret what I had said .
regular contact 1	While no further meeting is planned for the immediate future , the Department maintains regular contact with the SMMT at all levels .
regular feature 1	We regret that this article on the KH864 means we have not been able to bring you Diane Bennett 's regular feature .
regular intervals 1	Today the value of property is assessed by the Inland Revenue - central government civil servants - a process which ( in theory ) is repeated at regular intervals .
regular visits 1	But at the same time lawyers and family were generally permitted to make regular visits .
regulating self -1	In this sense he was predicating his examination upon the operation of a self-regulating system for both and private economy .
regulation self -1	Mr Kaufman insisted that he opposed statutory regulation , and that the report amounted to a request for self-regulation .
regulatory bodies 1	Conclusions about or other responsibility should be left to the police or regulatory bodies such as the Bank of England to decide .
regulatory body 1	A regulatory body to investigate complaints should also be established .
rehearsal dress -1	Does he not recall the trouble that Clemens Krauss had with the last at the at the 1944 dress rehearsal ?
reich third -1	Surely those who extended the hand of ideological comradeship to the Third Reich would not be treated in such a manner ?
reid lord -1	Under the leadership of Lord Denning and Lord Reid , old common law principles of natural justice were given new content and value .
reid peter -1	Manager Peter Reid wanted him on trial but Ghent will not let their man leave on approval .
related closely -1	In the fourth year , there is a wide range of options in courses closely related to contemporary research issues in psychology .
relating law -1	There is urgent need to reform the law relating to damages in libel actions .
relating matters -1	My Department has recently received a numbe of representations from hon. Members and the public on matters relating to military low-flying training .
relating provisions -1	Against that background I now consider the detailed statutory provisions relating to administrative receivers .
relational database 1	The Distributed Computing Environment 1.0.2 will include enhancements to its security services such , as single point of failure facilities and improvements to relational database security access .
relational databases 1	Development of the first true multimedia , relational databases multimedia is described as just another set of fields is still in its infancy .
relations anglo -2	But all this did not yet add up to a widespread expectation in London Anglo-American relations would or should retain their wartime intimacy .
relations community -1	Two policemen are responsible for community relations and two policewomen for juvenile liaison , each of whom is a sergeant .
relations diplomatic -1	It was announced on March 9 that Israel and Guyana were to restore diplomatic relations .
relations industrial -1	Over the last few years , there has been a considerable amount of interest regarding the role of joint consultation in British Industrial Relations .
relations race -1	But this is avoided through the assertion that blacks are being given an unfair advantage by the hidden helping hand of the race relations industry .
relations sexual -1	At last the Association of University Teachers ( AUT ) has brought the subject of staff-student sexual relations out into the open .
relationship sexual -1	During , Ahmed al-Zahrani was allegedly and to sign a confession stating that he had a sexual relationship with Maha .
relationship special -1	He himself had not needed legitimation in 1958 , because of the special relationship that already between General de Gaulle and France .
relationship working -1	It also means getting to know the official responsible for the drafting of a legislation and establishing a working relationship with him .
relationships within 1	It has traditionally been assumed that a gradual decrease in intensity of Hercynian folding has resulted in the stratigraphic relationships within the late Carboniferous .
relationships working -1	We bring to our working relationships the same potential for disordered conduct as we bring to any other area of our lives .
relatively cheap 1	Third , a number of factors to make CP finance relatively cheap in relation to bank .
relatively easy 1	The address Adam had given her was relatively easy to find .
relatively high 1	There was also an awareness of the need for relatively high levels of external insulation .
relatively little 1	We have already dropped our International Tax section and this is the last to include European Briefing : both sections had relatively little from readers .
relatively low 1	This data does not mean that absolute wages are higher , because in the early years wages in Japan are relatively low .
relatively minor 1	As for and lighting these were regarded as relatively minor details whose provision was hardly important .
relatively modest 1	By six the same evening the route had received at least five repeat ascents , and because of its relatively modest grade should stay very popular .
relatively recent 1	Laboulbeniales are a relatively recent discovery in the mycological scheme of things .
relatively short 1	In another series of investigations of artificial pits and wells , Armitage ( 1985 ) has shown that as many as 50-60 individuals can be trapped relatively short periods .
relatively stable 1	The effect of relatively stable and proven software configurations is to introduce a measure of uncertainty and into a previously well situation .
relatively straightforward 1	On a site with good dating evidence for most contexts and easily relationships between them , such an interpretation is relatively straightforward .
relatively well 1	While teachers without full qualifications are poorly paid , qualified teachers are now relatively well off .
relativity general -1	This is a term in the equations of general relativity that gives space-time an inbuilt tendency to expand or contract .
relevant highly -1	Yet he had n't been told this highly relevant fact .
relief road 1	So we 've we 've put in erm an amendment to that one to make it include to the M Sixty Two relief road .
relief sense -2	Since then , they have abandoned treatment and the sense of relief is incalculable .
relief sigh -2	The deadline came , the flood gates and we breathed a sigh of relief .
relief tax -1	However , anyone who had a dependent in a second home that date will continue to enjoy capital tax relief .
relieved see 2	No one appeared interested in a new face , Isabel was relieved to see .
religious belief 1	Margaret Nelson believes schools should give pupils a moral education which does not depend solely on religious belief .
religious experience 1	The disciplined study of religion reaches out more broadly to cover all the forms of religious experience .
religious traditions 1	Easter is with us and it is good to be reminded for a while about the eternal religious traditions , such as a really stupid controversy .
remain anonymous 1	She says all we know is that he comes from London and he wants to remain anonymous .
remain likely -2	As long as outside threats dominate Syrian affairs , the unsmiling President seems likely to remain firmly in control .
remain within 1	Securing a day place is often extremely important if a child in need is to remain within the family .
remaining last -1	Their protest was part of the bid to win a last-minute reprieve for , Lancashire 's last remaining mine .
remains seen 3	Whether there will be enough time at the Maastricht summit to discuss those matters as well remains to be seen .
remains uncertain 1	The interpretation intended by remains uncertain and as with much legislative debate it may be less than profitable to seek exactitude in a vague formulation .
remains unchanged 1	They have tested the range with the of 1300 hours of exposure to sunlight and that the intensity and brightness of the colour remains unchanged .
remains unclear 1	The critical event which determines malignancy in the sequence therefore remains unclear .
remarkably similar 1	For those aged over 65 the responses were remarkably similar for both males and females .
remarkably well 1	In the meantime there is surely more scope for capitalizing on the situation which appears to work remarkably well outside the classroom , namely communication .
remedial action 1	This enables predictions of ozone formation at a particular location to be made and allows local authorities to take remedial action .
remembering worth -1	It is worth remembering that most accidents happen within a few miles of home .
reminds us 1	Charismatics can be very dismissive and intolerant of those who do not share their religious perspective and Rolle frequently reminds us of such an attitude .
remote control 1	I roll a joint and into bed with my remote control .
remote sensing 1	Data from Landsat 's instruments are used in this chapter to illustrate geographical applications of remote sensing .
removed far -1	Indeed , leukaemia clusters occur areas that are far removed from nuclear installations .
renal failure 1	The results in patients with chronic renal failure are interesting , but clinically irrelevant .
renal function 1	Furthermore , a number of maintenance studies have shown no significant change in renal function on standard biochemical screening .
rented accommodation 1	They are particularly useful for temporary and rented accommodation because they can be so easily taken up and put down .
repeat position -2	Relax , to the starting position and repeat to the other side .
reply friend -3	I am grateful to my hon. Friend for that reply .
report final -1	Any material of this kind will be listed in our papers , and the most interesting will be reprinted as papers accompanying the final report .
report software -2	This index enables you to select various options allowing relations to be added to a Software Status Report ( SSR ) .
report special -1	Yesterday 's edition of the Investors Chronicle contains a special report on the 158 companies on the market .
reported back 1	It also was emphatic that I reported back to him alone .
reports annual -1	Examination results and awards made are recorded , and annual reports prepared for local education authorities .
reports press -1	In some situations the press reports explicitly mention that there is no sexual assault or activity .
reports recent -1	The attack came from the Royal College of after a series of recent reports concerning doctors and other medical professionals with HIV .
represent would -1	At the Locks , a corresponding delivery of water to the pond would represent 43 h.p .
representation proportional -1	The unicameral Chamber of Deputies is elected for a four-year term by universal adult under a system of reinforced proportional representation .
representations social -1	Because of the stress on argumentation , the rhetorical approach warns against assuming the internal consistency of social consciousness or social representations .
representative sample 1	To supplement the above information , personal interviews are being conducted in a representative sample of 250 companies .
representatives union -1	A national workshop on the issue together management and union representatives , and similar activities have taken place in each state .
reproductive success 1	The Trivers Willard effect is an inevitable consequence of the quantitative disparity in the sexes and the variance of reproductive success .
republic federal -1	In the Federal Republic , the parties participate forming the will of the people .
republic irish -1	The cost of unity could be done through a gradual restructuring of the Ulster economy to make it similar to the Irish Republic .
republican irish -1	But the idea English prisoners have allowed themselves to be coopted into the Irish Republican political cause is a remarkably implausible one .
republics baltic -1	The struggle for control over the Baltic republics is rapidly being overtaken by a bigger struggle for power in the Soviet Union .
reputation international -1	The machine was acquired from the American corporation Machines , and highlights the growing international reputation of the Centre .
request available -2	All calls are free from anywhere in the UK ; a list of needle exchanges is available upon request .
require also -1	Teacher training colleges which are to train teachers in these subjects will also require funds for equipment .
require n -2	But I ca n't think of a way to power an engine aboard which does n't require fire and water .
required pay 2	Only about 20 per cent of local government revenue was being raised from households actually required to pay rates .
required privileges -2	No special LIFESPAN privileges are required to use this option .
required take 2	It may have refused to take into something which it was required to take into account .
requirement borrowing -1	In Britain , borrowing needs of all public authorities are largely and as a public-sector borrowing requirement ( PSBR ) .
requirement sector -2	In Britain , borrowing needs of all public authorities are largely and as a public-sector borrowing requirement ( PSBR ) .
requirements legal -1	Beer is classified as a food stuff and yet it is excluded from the legal requirements to list ingredients .
requirements specific -1	Manual searches of their large and continually personnel for matches to a customer 's specific requirements was becoming uneconomic due to its labour intensity .
research aim -3	The aim of the research is to build mathematical models of how such decisions are actually made .
research current -1	In the fourth year a number of topics of current interest are studied in detail , taking the student to the leading edge of current research .
